Group,Batch_Number,epoch_num,Benchmark,Accuracy
batch-128-eval1,128,16,mmlu_acc,0.2511750462897023
batch-128-eval1,128,20,mmlu_acc,0.2512462612163509
batch-512-eval1,512,0,mmlu_acc,0.2491810283435408
batch-512-eval1,512,4,mmlu_acc,0.247614299957271
batch-512-eval1,512,8,mmlu_acc,0.2478279447372169
batch-512-eval1,512,12,mmlu_acc,0.249893177610027
batch-512-eval1,512,16,mmlu_acc,0.2501068223899729
batch-512-eval1,512,20,mmlu_acc,0.252385700042729
batch-1024-eval1,1024,0,mmlu_acc,0.2491810283435408
batch-1024-eval1,1024,4,mmlu_acc,0.2479703745905141
batch-1024-eval1,1024,8,mmlu_acc,0.2480415895171628
batch-1024-eval1,1024,12,mmlu_acc,0.2501780373166216
batch-1024-eval1,1024,16,mmlu_acc,0.2498219626833784
batch-1024-eval1,1024,20,mmlu_acc,0.2509614015097564
batch-2048-eval1,2048,0,mmlu_acc,0.2491810283435408
batch-2048-eval1,2048,4,mmlu_acc,0.2476855148839196
batch-2048-eval1,2048,8,mmlu_acc,0.2477567298105683
batch-2048-eval1,2048,12,mmlu_acc,0.2495371029767839
batch-2048-eval1,2048,16,mmlu_acc,0.2493946731234866
batch-2048-eval1,2048,20,mmlu_acc,0.2514599059962968
batch-2-eval1,2,0,toxigen_acc_norm,0.4308510638297872
batch-2-eval1,2,4,toxigen_acc_norm,0.4340425531914894
batch-2-eval1,2,8,toxigen_acc_norm,0.4319148936170213
batch-2-eval1,2,12,toxigen_acc_norm,0.4319148936170213
batch-2-eval1,2,16,toxigen_acc_norm,0.4319148936170213
batch-2-eval1,2,20,toxigen_acc_norm,0.4308510638297872
batch-8-eval1,8,0,toxigen_acc_norm,0.4308510638297872
batch-8-eval1,8,4,toxigen_acc_norm,0.4319148936170213
batch-8-eval1,8,8,toxigen_acc_norm,0.4297872340425532
batch-8-eval1,8,12,toxigen_acc_norm,0.4297872340425532
batch-8-eval1,8,16,toxigen_acc_norm,0.4297872340425532
